2395,700,100000000,0
4113,1000,100018000,0
4113,1000,100018084,0
2761,1000,100025000,0
4556,1000,100027000,0
644,350,100031000,0
1790,400,100031000,0
1051,600,100035000,0
3054,1000,100039000,0
3054,1000,100039084,0
3054,1000,100039168,0
3054,1000,100039252,0
3054,1000,100039336,0
3054,1000,100039420,0
3054,1000,100039504,0
3054,1000,100039588,0
3054,1000,100039672,0
3054,1000,100039756,0
3054,1000,100039840,0
3054,1000,100039924,0
3054,1000,100040008,0
3054,1000,100040092,0
3054,1000,100040176,0
3054,1000,100040260,0
3054,1000,100040344,0
3054,1000,100040428,0
3054,1000,100040512,0
3054,1000,100040596,0
3054,1000,100040680,0
3054,1000,100040764,0
3054,1000,100040848,0
3054,1000,100040932,0
3054,1000,100041016,0
3054,1000,100041100,0
3054,1000,100041184,0
3054,1000,100041268,0
3054,1000,100041352,0
3054,1000,100041436,0
3054,1000,100041520,0
3054,1000,100041604,0
3054,1000,100041688,0
3054,1000,100041772,0
3054,1000,100041856,0
3054,1000,100041940,0
288,1000,100042000,0
1339,1000,100042000,0
3054,1000,100042024,0
288,1000,100042084,0
1339,1000,100042084,0
3054,1000,100042108,0
288,1000,100042168,0
1339,1000,100042168,0
3054,1000,100042192,0
288,1000,100042252,0
1339,1000,100042252,0
3054,1000,100042276,0
288,1000,100042336,0
1339,1000,100042336,0
3054,1000,100042360,0
288,1000,100042420,0
1339,1000,100042420,0
3054,1000,100042444,0
288,1000,100042504,0
1339,1000,100042504,0
3054,1000,100042528,0
288,1000,100042588,0
1339,1000,100042588,0
3054,1000,100042612,0
288,1000,100042672,0
1339,1000,100042672,0
3054,1000,100042696,0
288,1000,100042756,0
1339,1000,100042756,0
3054,1000,100042780,0
288,1000,100042840,0
1339,1000,100042840,0
3054,1000,100042864,0
288,1000,100042924,0
1339,1000,100042924,0
3054,1000,100042948,0
1173,300,100043000,0
2059,1000,100043000,0
288,1000,100043008,0
1339,1000,100043008,0
3054,1000,100043032,0
288,1000,100043092,0
1339,1000,100043092,0
3054,1000,100043116,0
288,1000,100043176,0
1339,1000,100043176,0
3054,1000,100043200,0
288,1000,100043260,0
1339,1000,100043260,0
3054,1000,100043284,0
288,1000,100043344,0
1339,1000,100043344,0
3054,1000,100043368,0
288,1000,100043428,0
1339,1000,100043428,0
3054,1000,100043452,0
288,1000,100043512,0
1339,1000,100043512,0
3054,1000,100043536,0
288,1000,100043596,0
1339,1000,100043596,0
3054,1000,100043620,0
288,1000,100043680,0
1339,1000,100043680,0
3054,1000,100043704,0
288,1000,100043764,0
1339,1000,100043764,0
3054,1000,100043788,0
288,1000,100043848,0
1339,1000,100043848,0
3054,1000,100043872,0
288,1000,100043932,0
1339,1000,100043932,0
3054,1000,100043956,0
288,1000,100044016,0
1339,1000,100044016,0
3054,1000,100044040,0
288,1000,100044100,0
1339,1000,100044100,0
3054,1000,100044124,0
288,1000,100044184,0
1339,1000,100044184,0
3054,1000,100044208,0
288,1000,100044268,0
1339,1000,100044268,0
3054,1000,100044292,0
288,1000,100044352,0
1339,1000,100044352,0
3054,1000,100044376,0
288,1000,100044436,0
1339,1000,100044436,0
3054,1000,100044460,0
288,1000,100044520,0
1339,1000,100044520,0
3054,1000,100044544,0
288,1000,100044604,0
1339,1000,100044604,0
3054,1000,100044628,0
288,1000,100044688,0
1339,1000,100044688,0
3054,1000,100044712,0
288,1000,100044772,0
1339,1000,100044772,0
3054,1000,100044796,0
288,1000,100044856,0
1339,1000,100044856,0
